date,avgPubSize,avgEpochsNumber,avgPubPrice,avgBid,totalPubs,totalTracSpent
2022-12-14T00:00:00.000Z,467.0,10.0,0.051306152,0.003750000004111349,1,0.051306152
2022-12-15T00:00:00.000Z,1003.4379,5.0099,0.05516100949704142,0.0037500000009928584,1014,55.93326363
2022-12-16T00:00:00.000Z,1005.4435,5.0,0.05523066258725846,0.0037500000008993217,3312,182.923954489
2022-12-17T00:00:00.000Z,981.2647,5.0,0.053902478658086006,0.0037500000008793013,3302,177.985984529
2022-12-18T00:00:00.000Z,1007.1987,5.0,0.05530012864232041,0.0037478659462471084,3327,183.983527993
2022-12-19T00:00:00.000Z,1140.9284,5.0,0.06267306899866608,0.0037500000009821604,2249,140.951732178
2022-12-20T00:00:00.000Z,1027.0693,5.0,0.05641860104308526,0.0037500000009352595,3319,187.253336862
2022-12-21T00:00:00.000Z,1004.1989,5.0,0.05516229190086473,0.003750000000944215,3238,178.615501175
2022-12-22T00:00:00.000Z,1000.2289,5.0,0.054944214589242056,0.0037500000009464763,3272,179.777470136
2022-12-23T00:00:00.000Z,1011.7545,5.0,0.05557733654258373,0.00375000000088941,2090,116.156633374
2022-12-27T00:00:00.000Z,1006.3281,5.0,0.05527925097826087,0.0037500000009369197,1012,55.94260199
2022-12-28T00:00:00.000Z,1004.236,5.0,0.055164329993150685,0.0037500000009735393,1606,88.593913969
2022-12-29T00:00:00.000Z,1010.0579,5.0,0.05548413605049261,0.003750000000974669,1624,90.106236946
2022-12-30T00:00:00.000Z,1004.8812,5.0,0.055199773470771145,0.0037500000009274884,1608,88.761235741
2022-12-31T00:00:00.000Z,1007.921,5.0,0.05536675104140527,0.0037500000009340357,1594,88.25460116
2023-01-01T00:00:00.000Z,1006.6282,5.0,0.05529573562310606,0.0037500000009604724,1584,87.588445227
2023-01-02T00:00:00.000Z,1010.2723,5.0,0.055495912371501276,0.0037500000009334142,1572,87.239574248
2023-01-03T00:00:00.000Z,1005.6179,5.0,0.05524024208963763,0.0037500000009511583,1573,86.892900807
2023-01-04T00:00:00.000Z,1003.2187,5.0,0.05510845024764299,0.0037500000009279303,1591,87.677544344
2023-01-05T00:00:00.000Z,1002.2831,5.0,0.05505705674131274,0.0037500000009901137,1554,85.558666176
2023-01-06T00:00:00.000Z,1006.5869,5.0,0.05529346935278859,0.0037500000009520443,1542,85.262529742
2023-01-07T00:00:00.000Z,989.2367,5.0,0.054340391928617365,0.003750000000980284,1555,84.499309449
2023-01-08T00:00:00.000Z,992.9717,5.0,0.05454556236830015,0.003750000000988253,1306,71.236504453
2023-01-09T00:00:00.000Z,767.75,5.0,0.0421737665,0.0037500000036782243,4,0.168695066
2023-01-10T00:00:00.000Z,1886.4286,5.0,0.10362461571428572,0.0037500000010862876,7,0.72537231
2023-01-12T00:00:00.000Z,1786.8571,5.0,6.543666294285714,0.25000000004682527,14,91.61132812
2023-01-13T00:00:00.000Z,411.3698,4.0604,1.3057942195177084,0.249541667069999,960,1253.562450737
2023-01-14T00:00:00.000Z,367.0511,4.0,1.0565222794475946,0.24567010341021292,2328,2459.583866554
2023-01-15T00:00:00.000Z,457.7199,4.0,1.318756153318976,0.24585542187765916,3320,4378.270429019
2023-01-16T00:00:00.000Z,455.3844,4.0,1.3136507491360545,0.2461564627860825,294,386.213320246
2023-01-18T00:00:00.000Z,2109.1111,5.0,7.4503173827777776,0.24055555578388227,18,134.10571289
2023-01-19T00:00:00.000Z,510.8731,4.0,1.4746903321706948,0.246314199518214,662,976.244999897
2023-01-20T00:00:00.000Z,509.9895,4.0,1.4741694678508246,0.24666416803829988,1334,1966.542070113
2023-01-22T00:00:00.000Z,510.69,4.0,1.4626607659440354,0.24440353473539253,1358,1986.293320152
2023-01-23T00:00:00.000Z,510.0741,4.0,1.4614008354297296,0.24449034761405267,2590,3785.028163763
2023-01-24T00:00:00.000Z,510.1847,4.0,1.4616225777399807,0.24446938133176896,3119,4558.800819971
2023-01-25T00:00:00.000Z,566.8404,4.0585,1.6869734352925532,0.24470744693569393,376,634.30201167
2023-01-27T00:00:00.000Z,18222.0,5.0,64.06171875,0.24,2,128.1234375
2023-02-02T00:00:00.000Z,509.5792,4.0,1.4442962345846995,0.24185792361287914,183,264.306210929
2023-02-03T00:00:00.000Z,510.2753,4.0,1.450180262861662,0.24251180370894407,2118,3071.481796741
2023-02-04T00:00:00.000Z,510.6887,4.0,1.4486284146754966,0.2420529802644264,151,218.742890616
2023-02-08T00:00:00.000Z,510.3914,4.0,1.4600253031653354,0.24410543142774968,1252,1827.951679563
2023-02-09T00:00:00.000Z,510.7081,4.0,1.4606978442029348,0.24406493924091432,3203,4678.615194982
2023-02-10T00:00:00.000Z,510.5052,4.0,1.4600263784903755,0.24404859589376424,3169,4626.823593436
2023-02-11T00:00:00.000Z,510.4303,4.0,1.4593137478212979,0.2439667222520823,3005,4385.237812203
