nodeId,networkId,tokenName,tokenSymbol,nodeGroup,date,nodeStake,pubsCommited,pubsCommited1stEpochOnly,estimatedEarnings,cumulativeEstimatedEarnings,payouts,cumulativePayouts,ask
53,QmYTjVNYTPFMiRhnfyLBKMzfYBTdbktTSMh1ZKpzvZu1sj,TRAC02,TRAC02,Solo,2023-07-10T00:00:00.000Z,53095.389620502,4,0,0.751875,1855.5695715090167,1.156474087,1095.295495029,0.24
105,QmQrD9YyhJY1oZ35fJ8CRo3VM8t5ABQrjS2R23Abg33KJJ,Two Ravens E&C,TWRVN,Solo,2023-07-10T00:00:00.000Z,52314.101555555,3,3,0.72,190.292203125,0.0,8.970555548,0.002
41,Qmaa96tesPwJCBjnhJgPBfpFg4HKvU2BLE2ao4g2bg9hVT,Branimir Rakic X88,BRX88,Alliance,2023-07-10T00:00:00.000Z,76471.017498598,2,1,0.4284375,2165.973443067933,2.149860249,1470.736130464,0.24
102,Qmcj2eQrYT2FQeXXKVHkmGPxkJisGUx3ZTK9vnw8Q1qskT,drMurlly-DKGv6-5,DKGv6-5,Alliance,2023-07-10T00:00:00.000Z,50019.510603841,3,3,0.80484375,545.233359375,0.566666666,49.510603804,0.24
101,QmdosmTKejBAhyXzqmideFKUyXMiucLXWRZvFST9mk8b37,drMurlly-DKGv6-3b,DKGv6-3b,Alliance,2023-07-10T00:00:00.000Z,50040.408615451,7,7,1.68,810.196875,1.414545355,60.408615406,0.24
5,QmUUdsHQmRfCPXdd84j3JQCFoJHVGmY3847kCkKSq6n7RN,Trace Labs Node 5,TLNODE_5,Trace Labs,2023-07-10T00:00:00.000Z,50728.096242309,4,2,0.854296875,1257.8479570555833,1.403792074,728.096239559,0.118
8,QmYCCXqCe5LHHi9ZxZTw1xTcYXZ47cwk8LmTRAcqWW53e1,Trace Labs Node 21,TLNODE_21,Trace Labs,2023-07-10T00:00:00.000Z,52768.281782008,9,5,1.952578125,4055.390783704683,1.51086755,2678.281776645,0.1
84,QmTjs8wGS297NsQ9B3D42E11dUWAR8P3XsikvuKkJy8qFD,Sinoloa1,SNL1,Solo,2023-07-10T00:00:00.000Z,53304.735209304,12,3,2.5321875,880.198703125,0.6,304.73520919,0.24
82,QmeoBNoPq4oyRhJrufF6mPkVA7sKX9keYEwLMFbNUfqyY5,SHIFT01,ST01,Alliance,2023-07-10T00:00:00.000Z,53668.863657591,8,2,1.602421875,640.88953125,0.2,383.863657441,0.24
36,QmVY4xRwJVV4w5BESrpRW8s6Xv15j9n1ZFBw2TSes18aMv,Kitty,Kit,Alliance,2023-07-10T00:00:00.000Z,63920.03385882,7,2,1.416796875,2742.84535847425,2.526066979,1919.033853792,0.32
